idx,project,filename,window_start,window_end,label,logits
143,BombRun,20260408_091450.WAV,0.0,5.0,A_Bomba1,0.55692583
144,BombRun,20260408_053705.WAV,0.0,5.0,A_Bomba1,0.43566853
145,BombRun,20260408_085425.WAV,0.0,5.0,A_Bomba1,0.6541217
146,BombRun,20260408_085355.WAV,0.0,5.0,A_Bomba1,0.52674925
147,BombRun,20260408_091320.WAV,0.0,5.0,A_Bomba1,0.67469776
148,BombRun,20260407_171510.WAV,0.0,5.0,A_Bomba1,0.7087169
149,BombRun,20260408_122840.WAV,0.0,5.0,A_Bomba1,0.62206197
150,BombRun,20260408_115020.WAV,0.0,5.0,A_Bomba1,0.66035956
151,BombRun,20260408_055410.WAV,0.0,5.0,A_Bomba1,0.59630394
152,BombRun,20260407_012935.WAV,0.0,5.0,A_Bomba1,0.46803653
153,BombRun,20260408_120925.WAV,0.0,5.0,A_Bomba1,0.78448087
154,BombRun,20260408_083730.WAV,0.0,5.0,A_Bomba1,0.75191665
155,BombRun,20260408_061945.WAV,0.0,5.0,A_Bomba1,0.7278843
156,BombRun,20260409_060955.WAV,0.0,5.0,A_Bomba1,0.5768696
157,BombRun,20260407_172025.WAV,0.0,5.0,A_Bomba1,0.6560551
158,BombRun,20260408_054040.WAV,0.0,5.0,A_Bomba1,0.6844042
159,BombRun,20260408_084705.WAV,0.0,5.0,A_Bomba1,0.7027686
160,BombRun,20260407_011555.WAV,0.0,5.0,A_Bomba1,0.561609
161,BombRun,20260408_123545.WAV,0.0,5.0,A_Bomba1,0.68419236
162,BombRun,20260407_141410.WAV,0.0,5.0,A_Bomba1,0.5698394
163,BombRun,20260408_061010.WAV,0.0,5.0,A_Bomba1,0.6105623
164,BombRun,20260408_121420.WAV,0.0,5.0,A_Bomba1,0.61761343
165,BombRun,20260407_013430.WAV,0.0,5.0,A_Bomba1,0.38031155
166,BombRun,20260408_054915.WAV,0.0,5.0,A_Bomba1,0.61105925
167,BombRun,20260408_060440.WAV,0.0,5.0,A_Bomba1,0.6102346
168,BombRun,20260407_142125.WAV,0.0,5.0,A_Bomba1,0.59993684
169,BombRun,20260408_053920.WAV,0.0,5.0,A_Bomba1,0.552493
170,BombRun,20260407_140040.WAV,0.0,5.0,A_Bomba1,0.6714786
171,BombRun,20260408_122115.WAV,0.0,5.0,A_Bomba1,0.70546716
172,BombRun,20260407_173105.WAV,0.0,5.0,A_Bomba1,0.6291531
173,BombRun,20260408_115550.WAV,0.0,5.0,A_Bomba1,0.4856788
174,BombRun,20260408_085625.WAV,0.0,5.0,A_Bomba1,0.64043957
175,BombRun,20260407_141835.WAV,0.0,5.0,A_Bomba1,0.5480661
176,BombRun,20260408_090200.WAV,0.0,5.0,A_Bomba1,0.5980013
177,BombRun,20260408_054530.WAV,0.0,5.0,A_Bomba1,0.5330891
178,BombRun,20260407_013815.WAV,0.0,5.0,A_Bomba1,0.32004339
179,BombRun,20260408_121805.WAV,0.0,5.0,A_Bomba1,0.5931029
180,BombRun,20260407_172555.WAV,0.0,5.0,A_Bomba1,0.6672947
181,BombRun,20260408_114100.WAV,0.0,5.0,A_Bomba1,0.5440713
182,BombRun,20260408_121150.WAV,0.0,5.0,A_Bomba1,0.6100215
183,BombRun,20260407_013140.WAV,0.0,5.0,A_Bomba1,0.38462257
184,BombRun,20260408_114855.WAV,0.0,5.0,A_Bomba1,0.8588236
185,BombRun,20260408_123035.WAV,0.0,5.0,A_Bomba1,0.7069226
186,BombRun,20260408_052800.WAV,0.0,5.0,A_Bomba1,0.58948004
187,BombRun,20260407_171935.WAV,0.0,5.0,A_Bomba1,0.48543704
188,BombRun,20260407_140530.WAV,0.0,5.0,A_Bomba1,0.5784389
189,BombRun,20260407_000100.WAV,0.0,5.0,A_Bomba1,0.32336143
190,BombRun,20260407_135805.WAV,0.0,5.0,A_Bomba1,0.6924288
191,BombRun,20260408_120500.WAV,0.0,5.0,A_Bomba1,0.6011279
192,BombRun,20260407_012510.WAV,0.0,5.0,A_Bomba1,0.6565058
193,BombRun,20260408_055835.WAV,0.0,5.0,A_Bomba1,0.33811203
194,BombRun,20260408_124000.WAV,0.0,5.0,A_Bomba1,0.8219389
195,BombRun,20260408_060130.WAV,0.0,5.0,A_Bomba1,0.6026581
196,BombRun,20260408_085745.WAV,0.0,5.0,A_Bomba1,0.67795527
197,BombRun,20260408_115430.WAV,0.0,5.0,A_Bomba1,0.78843886
198,BombRun,20260408_060905.WAV,0.0,5.0,A_Bomba1,0.53838956
199,BombRun,20260408_055000.WAV,0.0,5.0,A_Bomba1,0.6025364
200,BombRun,20260407_172435.WAV,0.0,5.0,A_Bomba1,0.69891274
201,BombRun,20260408_054450.WAV,0.0,5.0,A_Bomba1,0.44565395
202,BombRun,20260408_084315.WAV,0.0,5.0,A_Bomba1,0.7144112
203,BombRun,20260407_011810.WAV,0.0,5.0,A_Bomba1,0.37428433
204,BombRun,20260408_123800.WAV,0.0,5.0,A_Bomba1,0.6666731
205,BombRun,20260407_141955.WAV,0.0,5.0,A_Bomba1,0.41731706
206,BombRun,20260408_123155.WAV,0.0,5.0,A_Bomba1,0.74574316
207,BombRun,20260408_061400.WAV,0.0,5.0,A_Bomba1,0.5633625
208,BombRun,20260408_114935.WAV,0.0,5.0,A_Bomba1,0.7434978
209,BombRun,20260407_013020.WAV,0.0,5.0,A_Bomba1,0.4125159
210,BombRun,20260408_121030.WAV,0.0,5.0,A_Bomba1,0.68805057
211,BombRun,20260408_060050.WAV,0.0,5.0,A_Bomba1,0.55204815
212,BombRun,20260408_055955.WAV,0.0,5.0,A_Bomba1,0.69143313
213,BombRun,20260407_171855.WAV,0.0,5.0,A_Bomba1,0.4801106
214,BombRun,20260407_140450.WAV,0.0,5.0,A_Bomba1,0.50271225
215,BombRun,20260408_122505.WAV,0.0,5.0,A_Bomba1,0.7104456
216,BombRun,20260408_083650.WAV,0.0,5.0,A_Bomba1,0.77180785
217,BombRun,20260408_120845.WAV,0.0,5.0,A_Bomba1,0.7335821
218,BombRun,20260407_012855.WAV,0.0,5.0,A_Bomba1,0.5143084
219,BombRun,20260408_115140.WAV,0.0,5.0,A_Bomba1,0.73433805
220,BombRun,20260408_122920.WAV,0.0,5.0,A_Bomba1,0.80408305
221,BombRun,20260408_053115.WAV,0.0,5.0,A_Bomba1,0.5475924
222,BombRun,20260408_091240.WAV,0.0,5.0,A_Bomba1,0.64056647
223,BombRun,20260408_085235.WAV,0.0,5.0,A_Bomba1,0.70180887
224,BombRun,20260408_052545.WAV,0.0,5.0,A_Bomba1,0.587898
225,BombRun,20260408_090610.WAV,0.0,5.0,A_Bomba1,0.69617444
226,BombRun,20260408_054120.WAV,0.0,5.0,A_Bomba1,0.6907188
227,BombRun,20260407_172145.WAV,0.0,5.0,A_Bomba1,0.53849804
228,BombRun,20260408_061825.WAV,0.0,5.0,A_Bomba1,0.6149164
229,BombRun,20260407_013550.WAV,0.0,5.0,A_Bomba1,0.5762059
230,BombRun,20260408_121540.WAV,0.0,5.0,A_Bomba1,0.72651815
231,BombRun,20260407_172810.WAV,0.0,5.0,A_Bomba1,0.62109834
232,BombRun,20260408_123425.WAV,0.0,5.0,A_Bomba1,0.78727406
233,BombRun,20260407_140120.WAV,0.0,5.0,A_Bomba1,0.53226584
234,BombRun,20260408_053840.WAV,0.0,5.0,A_Bomba1,0.82042223
235,BombRun,20260407_142045.WAV,0.0,5.0,A_Bomba1,0.5986054
236,BombRun,20260407_012100.WAV,0.0,5.0,A_Bomba1,0.40160662
237,BombRun,20260408_120110.WAV,0.0,5.0,A_Bomba1,0.7195113
238,BombRun,20260408_115815.WAV,0.0,5.0,A_Bomba1,0.71587014
239,BombRun,20260408_124410.WAV,0.0,5.0,A_Bomba1,0.5821714
240,BombRun,20260408_053855.WAV,0.0,5.0,A_Bomba1,0.5672681
241,BombRun,20260407_140135.WAV,0.0,5.0,A_Bomba1,0.449013
242,BombRun,20260408_124405.WAV,0.0,5.0,A_Bomba1,0.5178389
243,BombRun,20260408_115800.WAV,0.0,5.0,A_Bomba1,0.78283286
244,BombRun,20260407_142050.WAV,0.0,5.0,A_Bomba1,0.52768195
245,BombRun,20260408_120105.WAV,0.0,5.0,A_Bomba1,0.89774126
246,BombRun,20260407_012115.WAV,0.0,5.0,A_Bomba1,0.5134716
247,BombRun,20260408_121555.WAV,0.0,5.0,A_Bomba1,0.6812973
248,BombRun,20260407_013545.WAV,0.0,5.0,A_Bomba1,0.5368757
249,BombRun,20260407_172805.WAV,0.0,5.0,A_Bomba1,0.5510619
250,BombRun,20260408_123430.WAV,0.0,5.0,A_Bomba1,0.7309381
251,BombRun,20260408_090605.WAV,0.0,5.0,A_Bomba1,0.6477357
252,BombRun,20260408_052550.WAV,0.0,5.0,A_Bomba1,0.6128671
253,BombRun,20260408_061830.WAV,0.0,5.0,A_Bomba1,0.69340366
254,BombRun,20260408_114505.WAV,0.0,5.0,A_Bomba1,0.6163062
255,BombRun,20260408_054135.WAV,0.0,5.0,A_Bomba1,0.59124875
256,BombRun,20260407_172150.WAV,0.0,5.0,A_Bomba1,0.4463423
257,BombRun,20260408_115155.WAV,0.0,5.0,A_Bomba1,0.5786794
258,BombRun,20260408_083645.WAV,0.0,5.0,A_Bomba1,0.7037523
259,BombRun,20260407_135555.WAV,0.0,5.0,A_Bomba1,0.5818159
260,BombRun,20260407_012840.WAV,0.0,5.0,A_Bomba1,0.5433606
261,BombRun,20260408_120850.WAV,0.0,5.0,A_Bomba1,0.52938586
262,BombRun,20260408_091255.WAV,0.0,5.0,A_Bomba1,0.5634213
263,BombRun,20260408_053100.WAV,0.0,5.0,A_Bomba1,0.42696542
264,BombRun,20260408_085220.WAV,0.0,5.0,A_Bomba1,0.7148259
265,BombRun,20260408_122935.WAV,0.0,5.0,A_Bomba1,0.80857104
