"site","file","date_chile","hour_chile","boat_tonality","n_harmonic_peaks","peak_freq"
"Zapallar 34","20251122_063600.WAV","2025-11-22",3,60.276,3,125.2
"Zapallar 34","20251122_063800.WAV","2025-11-22",3,69.36,3,109.6
"Zapallar 34","20251122_064400.WAV","2025-11-22",3,43.67,3,109.6
"Zapallar 34","20251122_065800.WAV","2025-11-22",3,44.2,3,140.9
"Zapallar 34","20251122_074800.WAV","2025-11-22",4,38.966,3,109.6
"Zapallar 34","20251124_042800.WAV","2025-11-24",1,71.509,3,109.6
"Zapallar 34","20251124_043000.WAV","2025-11-24",1,33.966,3,109.6
"Zapallar 34","20251124_043200.WAV","2025-11-24",1,37.932,3,109.6
"Zapallar 34","20251124_044000.WAV","2025-11-24",1,34.296,3,109.6
"Zapallar 34","20251124_044600.WAV","2025-11-24",1,32.679,3,109.6
"Zapallar 34","20251125_094600.WAV","2025-11-25",6,43.043,4,281.8
"Zapallar 34","20251127_081600.WAV","2025-11-27",5,40.874,3,109.6
"Zapallar 34","20251127_084000.WAV","2025-11-27",5,134.897,3,501
"Zapallar 32","20251022_012830.WAV","2025-10-21",22,31.709,3,109.6
"Zapallar 32","20251022_013000.WAV","2025-10-21",22,52.437,3,125.2
"Zapallar 32","20251022_030300.WAV","2025-10-22",0,33.38,3,109.6
"Zapallar 32","20251022_054330.WAV","2025-10-22",2,36.364,3,109.6
"Zapallar 32","20251022_055700.WAV","2025-10-22",2,31.559,3,109.6
"Zapallar 32","20251022_085530.WAV","2025-10-22",5,34.313,3,109.6
"Zapallar 32","20251022_091200.WAV","2025-10-22",6,43.748,3,109.6
"Zapallar 32","20251022_091630.WAV","2025-10-22",6,36.498,3,109.6
"Zapallar 32","20251023_010130.WAV","2025-10-22",22,54.727,3,109.6
"Zapallar 32","20251023_011630.WAV","2025-10-22",22,32.413,3,109.6
"Zapallar 32","20251023_011800.WAV","2025-10-22",22,42.381,3,109.6
"Zapallar 32","20251023_011930.WAV","2025-10-22",22,35.099,3,109.6
"Zapallar 32","20251023_012230.WAV","2025-10-22",22,56.118,3,109.6
"Zapallar 32","20251023_012830.WAV","2025-10-22",22,31.939,3,109.6
"Zapallar 32","20251023_013600.WAV","2025-10-22",22,53.723,3,109.6
"Zapallar 32","20251023_013730.WAV","2025-10-22",22,81.651,3,109.6
"Zapallar 32","20251023_014030.WAV","2025-10-22",22,49.928,3,109.6
"Zapallar 32","20251023_014330.WAV","2025-10-22",22,30.103,3,109.6
"Zapallar 32","20251023_014930.WAV","2025-10-22",22,44.874,3,109.6
"Zapallar 32","20251023_021500.WAV","2025-10-22",23,49.73,3,125.2
"Zapallar 32","20251023_021630.WAV","2025-10-22",23,30.985,3,125.2
"Zapallar 32","20251023_024030.WAV","2025-10-22",23,58.62,3,109.6
"Zapallar 32","20251023_024200.WAV","2025-10-22",23,71.393,3,109.6
"Zapallar 32","20251023_024330.WAV","2025-10-22",23,30.261,3,109.6
"Zapallar 32","20251023_024500.WAV","2025-10-22",23,64.053,3,109.6
"Zapallar 32","20251023_024630.WAV","2025-10-22",23,40.727,3,109.6
"Zapallar 32","20251023_025100.WAV","2025-10-22",23,46.406,3,109.6
"Zapallar 32","20251023_030430.WAV","2025-10-23",0,34.424,3,109.6
"Zapallar 32","20251023_030600.WAV","2025-10-23",0,35.038,3,109.6
"Zapallar 32","20251023_030730.WAV","2025-10-23",0,61.791,3,109.6
"Zapallar 32","20251023_031500.WAV","2025-10-23",0,36.938,3,125.2
"Zapallar 32","20251023_032100.WAV","2025-10-23",0,77.071,3,109.6
"Zapallar 32","20251023_032400.WAV","2025-10-23",0,40.586,3,109.6
"Zapallar 32","20251023_033000.WAV","2025-10-23",0,42.22,3,109.6
"Zapallar 32","20251023_033300.WAV","2025-10-23",0,37.218,3,109.6
"Zapallar 32","20251023_033730.WAV","2025-10-23",0,31.518,3,109.6
"Zapallar 32","20251023_034800.WAV","2025-10-23",0,31.346,3,109.6
"Zapallar 32","20251023_040000.WAV","2025-10-23",1,45.735,3,109.6
"Zapallar 32","20251023_040600.WAV","2025-10-23",1,36.324,3,109.6
"Zapallar 32","20251023_041030.WAV","2025-10-23",1,35.24,3,109.6
"Zapallar 32","20251023_043000.WAV","2025-10-23",1,41.216,3,109.6
"Zapallar 32","20251023_043600.WAV","2025-10-23",1,47.293,3,109.6
"Zapallar 32","20251023_043900.WAV","2025-10-23",1,30.283,3,109.6
"Zapallar 32","20251023_044630.WAV","2025-10-23",1,31.676,3,109.6
"Zapallar 32","20251023_045530.WAV","2025-10-23",1,46.519,3,109.6
